symbol,base,quote,type,yahoo_symbol
EURUSD,EUR,USD,major,EURUSD=X
USDJPY,USD,JPY,major,USDJPY=X
GBPUSD,GBP,USD,major,GBPUSD=X
USDCHF,USD,CHF,major,USDCHF=X
AUDUSD,AUD,USD,major,AUDUSD=X
USDCAD,USD,CAD,major,USDCAD=X
NZDUSD,NZD,USD,major,NZDUSD=X
EURGBP,EUR,GBP,major,EURGBP=X
EURJPY,EUR,JPY,major,EURJPY=X
GBPJPY,GBP,JPY,major,GBPJPY=X
EURCHF,EUR,CHF,minor,EURCHF=X
EURCAD,EUR,CAD,minor,EURCAD=X
GBPCHF,GBP,CHF,minor,GBPCHF=X
GBPAUD,GBP,AUD,minor,GBPAUD=X
GBPCAD,GBP,CAD,minor,GBPCAD=X
CHFJPY,CHF,JPY,minor,CHFJPY=X
AUDJPY,AUD,JPY,minor,AUDJPY=X
CADJPY,CAD,JPY,minor,CADJPY=X
NZDJPY,NZD,JPY,minor,NZDJPY=X
AUDNZD,AUD,NZD,minor,AUDNZD=X
USDZAR,USD,ZAR,exotic,USDZAR=X
USDTRY,USD,TRY,exotic,USDTRY=X
USDMXN,USD,MXN,exotic,USDMXN=X
USDSGD,USD,SGD,exotic,USDSGD=X
USDHKD,USD,HKD,exotic,USDHKD=X
USDNOK,USD,NOK,exotic,USDNOK=X
USDSEK,USD,SEK,exotic,USDSEK=X
USDDKK,USD,DKK,exotic,USDDKK=X
USDPLN,USD,PLN,exotic,USDPLN=X
USDHUF,USD,HUF,exotic,USDHUF=X
