ticker,signal,confidence,current_price,price_change_1d,price_change_7d,rsi,sma_20,sma_50,relative_volume,week_52_position_pct,trailing_pe,beta,recommendation_key,factors,analyzed_at
ABVX,HOLD,50,118.37,2.96,6.93,52.65,114.5083,117.6901,0.79,78.86,,-0.102,strong_buy,,2026-04-05T17:15:35.607313
ACAD,WEAK_BUY,65,22.2,-0.54,0.86,62.14,21.4615,23.1264,1.02,58.86,9.652174,0.834,buy,Low P/E (9.7),2026-04-05T17:15:45.132199
ACB,HOLD,50,3.44,2.69,0.58,50.41,3.3945,3.6396,0.79,10.29,,1.32,none,,2026-04-05T17:15:49.858197
ACCL,HOLD,50,1.37,3.79,-4.86,35.29,1.442,1.451,0.02,3.71,19.571428,,none,,2026-04-05T17:15:54.618027
ACDC,HOLD,50,6.08,2.88,-4.55,45.71,6.291,5.6506,0.86,39.37,,1.448,underperform,,2026-04-05T17:15:59.342898
ACEP,HOLD,50,17.659,0.2,0.9,60.89,17.3462,17.6786,0.2,78.26,26.128866,,,,2026-04-05T17:16:04.066000
ACET,HOLD,50,6.99,1.6,2.64,45.77,6.979,7.2858,0.43,8.57,,1.578,strong_buy,,2026-04-05T17:16:08.796860
ACFN,HOLD,50,17.2,6.3,-8.02,41.24,18.81,18.5668,0.19,23.23,17.373737,0.192,none,,2026-04-05T17:18:13.576441
ACGL,WEAK_BUY,65,96.74,1.31,3.66,65.12,94.446,96.4532,0.7,68.24,8.339655,0.384,buy,Low P/E (8.3),2026-04-05T17:18:18.300817
ACGLN,WEAK_BUY,65,16.66,0.91,0.66,41.14,16.7382,17.1173,0.67,17.65,3.5514815,0.384,none,Low P/E (3.6),2026-04-05T17:18:23.192003
ACGLO,WEAK_BUY,65,19.72,0.36,-0.48,35.09,19.9315,20.3857,0.88,11.11,4.2037945,0.384,none,Low P/E (4.2),2026-04-05T17:18:27.933510
ACHC,WEAK_BUY,65,23.96,1.23,-1.44,52.81,23.6615,19.5622,0.8,66.86,,0.71,buy,Uptrend,2026-04-05T17:18:32.667443
ACHV,HOLD,50,3.23,2.87,14.54,31.92,3.6665,4.135,0.74,33.17,,1.962,strong_buy,,2026-04-05T17:18:37.387617
ACIC,WEAK_BUY,65,10.97,-0.18,-3.86,41.05,11.292,11.2134,0.59,32.36,5.1023254,-0.611,none,Low P/E (5.1),2026-04-05T17:18:42.158211
ACIU,HOLD,50,2.76,-1.08,-6.12,41.75,2.9117,2.9875,0.37,51.75,,1.63,strong_buy,,2026-04-05T17:18:46.890902
ACIW,HOLD,50,41.33,0.9,3.22,59.68,40.5845,41.1536,0.88,18.85,19.13426,1.034,none,,2026-04-05T17:18:51.624135
ACLS,WEAK_BUY,65,95.09,-0.44,-5.71,65.27,89.226,87.806,0.44,87.46,25.023684,1.65,none,Uptrend,2026-04-05T17:18:56.348845
ACLX,WEAK_BUY,65,114.77,0.02,0.2,61.59,114.5515,95.0208,0.54,99.75,,0.248,hold,Uptrend,2026-04-05T17:19:01.079611
ACMR,HOLD,50,40.54,0.2,-11.17,33.52,44.3067,53.3365,0.54,43.26,29.591242,1.682,none,,2026-04-05T17:19:05.807596
ACNB,WEAK_BUY,65,48.0,-0.1,1.69,61.28,47.04,49.244,0.88,66.32,13.333334,0.857,none,Low P/E (13.3),2026-04-05T17:19:10.692657
ACNT,HOLD,50,13.1,-0.38,1.31,56.49,12.8535,15.2128,1.17,25.39,,0.551,none,,2026-04-05T17:19:15.462013
ACOG,WEAK_BUY,65,5.98,0.34,12.41,55.61,5.689,5.5808,0.8,28.63,,2.521,strong_buy,Uptrend,2026-04-05T17:19:20.201807
ACON,WEAK_BUY,65,3.57,4.69,10.53,56.9,3.281,3.0622,0.07,12.69,,1.135,strong_buy,Uptrend,2026-04-05T17:19:24.934514
ACRS,WEAK_BUY,65,4.2,1.45,16.99,65.14,3.6285,3.5146,0.39,82.03,,0.679,strong_buy,Uptrend,2026-04-05T17:19:34.377650
ACRV,HOLD,50,1.52,4.11,0.0,44.05,1.557,1.6388,0.23,18.73,,1.735,strong_buy,,2026-04-05T17:19:39.095641
ACT,WEAK_BUY,65,41.35,1.92,2.61,59.51,40.7125,41.1829,0.84,74.48,9.14823,0.51,none,Low P/E (9.1),2026-04-05T17:19:43.829042
ACTG,WEAK_BUY,65,5.0,1.63,-0.79,56.25,4.8145,4.3576,0.71,91.63,22.727272,0.445,none,Uptrend,2026-04-05T17:19:48.557897
ACTU,HOLD,50,2.48,-0.4,6.9,48.08,2.5242,3.6156,0.58,4.32,,,strong_buy,,2026-04-05T17:19:53.274481
ACWI,HOLD,50,139.44,-0.16,0.07,49.78,139.4245,143.467,0.58,80.4,21.97307,,,,2026-04-05T17:19:58.047343
ACWX,HOLD,50,68.93,-0.66,0.61,52.56,68.507,70.8194,1.05,76.9,17.223536,,,,2026-04-05T17:20:02.810807
ACXP,HOLD,50,3.68,-5.4,-13.82,48.46,4.194,2.8928,0.05,11.97,,-1.919,none,,2026-04-05T17:20:07.575644
ADACU,SELL,80,9.99,0.0,0.2,70.0,9.9875,9.9926,0.0,33.33,,,none,RSI overbought (70.0),2026-04-05T17:20:17.093051
ADAG,WEAK_BUY,65,3.99,-13.45,-1.97,48.01,3.752,3.2463,5.9,78.65,,,strong_buy,Uptrend,2026-04-05T17:20:26.550688
ADAM,WEAK_BUY,65,7.39,0.54,1.36,43.56,7.4685,7.7197,0.79,63.47,6.7181816,1.158,buy,Low P/E (6.7),2026-04-05T17:20:31.336783
ADAMG,HOLD,50,24.47,0.08,0.87,35.94,24.4817,24.601,0.88,63.9,,1.158,none,,2026-04-05T17:20:36.063997
ADAMH,WEAK_BUY,65,25.095,-0.02,-0.46,46.2,25.0456,25.0357,0.35,40.33,,1.158,none,Uptrend,2026-04-05T17:20:40.780801
ADAMI,HOLD,50,24.72,-0.12,0.9,46.08,24.6149,24.6749,0.73,67.63,,,,,2026-04-05T17:20:45.501631
ADAML,HOLD,50,23.105,-0.13,-0.1,43.8,23.1215,23.0078,0.42,83.59,,1.158,none,,2026-04-05T17:20:50.240448
ADAMM,HOLD,50,24.17,0.79,1.26,36.63,24.2269,24.5058,1.15,54.75,,1.158,none,,2026-04-05T17:20:54.975569
ADAMN,HOLD,50,21.77,-0.23,-0.3,46.67,21.8004,21.89,0.58,69.38,,1.158,none,,2026-04-05T17:20:59.720485
ADAMO,HOLD,50,24.445,0.06,0.95,33.58,24.5532,24.6489,0.48,18.37,,,,,2026-04-05T17:21:04.448074
ADAMZ,BUY,80,17.51,0.39,-4.35,15.4,18.4574,18.8709,0.82,15.29,,1.158,none,RSI oversold (15.4),2026-04-05T17:21:09.187772
ADBE,WEAK_BUY,65,242.92,0.64,2.39,43.24,252.409,264.8574,0.61,5.14,14.164432,1.518,buy,Low P/E (14.2),2026-04-05T17:21:13.959335
ADBG,HOLD,50,4.58,1.33,4.09,41.57,5.0155,5.6362,1.1,2.75,,,,,2026-04-05T17:21:18.670722
ADEA,WEAK_BUY,65,25.07,0.0,-0.59,65.55,23.5488,20.8392,0.91,93.42,25.323233,0.836,strong_buy,Uptrend,2026-04-05T17:21:23.461776
ADGM,WEAK_BUY,65,1.25,6.84,1.63,64.29,1.1007,1.0413,0.16,27.84,,0.041,strong_buy,Uptrend,2026-04-05T17:21:28.173030
ADI,HOLD,50,318.34,-0.7,-1.15,59.19,313.85,323.8412,0.58,78.07,58.09124,1.053,buy,,2026-04-05T17:21:32.947228
ADIL,HOLD,50,1.69,-2.31,-2.31,39.85,1.8015,2.8442,0.58,0.52,,1.399,none,,2026-04-05T17:21:37.692282
ADMA,BUY,80,9.19,0.88,-4.57,21.73,12.8795,14.9638,1.24,10.73,15.316666,0.821,buy,RSI oversold (21.7),2026-04-05T17:21:42.430879
ADP,HOLD,50,204.01,1.36,0.94,43.05,208.4796,219.042,0.79,5.22,19.616346,0.856,hold,,2026-04-05T17:21:47.268722
ADPT,HOLD,50,14.81,2.63,4.66,65.36,13.7645,15.5872,0.75,57.66,,2.296,strong_buy,,2026-04-05T17:21:51.983511
ADSE,HOLD,50,10.76,-7.24,1.89,56.55,10.9398,11.1821,0.23,45.99,,0.367,none,,2026-04-05T17:21:56.956834
ADSK,HOLD,50,238.08,0.09,1.13,36.48,245.9125,244.8828,0.88,20.22,45.435116,1.433,strong_buy,,2026-04-05T17:22:06.486825
ADTN,SELL,80,12.88,1.18,1.9,77.32,11.463,10.5362,1.56,96.43,,1.234,none,"Uptrend, RSI overbought (77.3)",2026-04-05T17:24:11.308212
ADTX,BUY,80,0.794,-11.78,-12.75,15.94,1.624,3.8814,3.34,0.0,,,none,RSI oversold (15.9),2026-04-05T17:24:16.028336
ADUR,HOLD,50,10.37,0.58,-4.25,43.11,10.8567,11.4573,0.52,48.55,,1.202,none,,2026-04-05T17:24:20.758936
ADUS,BUY,80,91.59,-2.41,-7.78,10.65,99.0205,104.4246,1.14,0.82,17.545977,0.956,buy,RSI oversold (10.6),2026-04-05T17:24:25.484684
ADV,WEAK_BUY,65,21.75,13.34,6.1,57.32,20.0108,18.8228,1.58,23.01,,1.751,strong_buy,Uptrend,2026-04-05T17:24:30.214340
ADVB,WEAK_BUY,65,4.55,2.02,6.31,31.04,4.6054,4.795,0.02,1.31,1.2926137,,none,Low P/E (1.3),2026-04-05T17:24:34.935614
ADXN,HOLD,50,5.72,-8.92,-12.07,34.28,6.534,7.1555,1.67,2.31,,1.865,none,,2026-04-05T17:24:39.657868
AEAQU,SELL,80,10.08,0.0,0.0,100.0,10.0615,10.0504,0.0,18.52,,,none,"Uptrend, RSI overbought (100.0)",2026-04-05T17:24:49.111290
AEBI,BUY,80,9.58,2.13,-0.1,14.07,11.3645,13.428,1.33,2.78,56.35294,,buy,RSI oversold (14.1),2026-04-05T17:24:58.531447
AEC,HOLD,50,5.48,-3.18,-0.54,45.42,5.7005,6.6722,0.29,31.54,,,none,,2026-04-05T17:25:03.304403
AEHL,BUY,80,1.11,-11.2,-22.92,19.01,1.671,3.251,0.44,0.18,,1.05,none,RSI oversold (19.0),2026-04-05T17:25:08.039070
AEHR,WEAK_BUY,65,44.32,11.92,13.55,62.15,37.548,33.9772,2.24,93.49,,2.289,buy,Uptrend,2026-04-05T17:25:12.760557
AEI,HOLD,50,1.75,-0.57,-3.85,55.75,1.7808,2.2512,0.2,27.27,,,none,,2026-04-05T17:25:17.477852
AEIS,WEAK_BUY,65,332.31,-0.15,-3.08,58.98,317.888,305.5525,0.42,90.28,85.426735,1.349,buy,Uptrend,2026-04-05T17:25:22.221272
AEMD,HOLD,50,2.12,-1.4,-8.62,57.26,2.0585,2.1662,0.31,2.25,,1.523,hold,,2026-04-05T17:25:26.953837
AENT,HOLD,50,6.68,2.45,-4.71,48.15,6.8465,6.5194,0.08,67.83,15.5348835,0.398,none,,2026-04-05T17:25:31.667412
AEP,WEAK_BUY,65,132.68,0.77,3.41,47.29,130.8385,127.2837,0.56,93.82,19.92192,0.57,buy,Uptrend,2026-04-05T17:25:41.286430
AERT,HOLD,50,0.481,19.06,57.7,58.9,0.3386,0.4038,1.5,17.57,,-0.289,none,,2026-04-05T17:25:46.009813
AEVA,HOLD,50,13.23,0.23,-13.3,40.44,14.5858,13.9809,0.31,22.52,,2.103,none,,2026-04-05T17:25:55.453572
AEYE,HOLD,50,6.63,-4.6,17.14,64.35,5.9005,7.0456,1.45,11.91,,0.683,buy,,2026-04-05T17:26:00.182893
AFBI,SELL,80,22.27,-0.22,11.97,78.92,19.8405,20.1242,1.88,95.75,17.263567,-0.041,none,RSI overbought (78.9),2026-04-05T17:26:04.908476
AFCG,WEAK_BUY,65,2.81,1.44,9.74,60.31,2.6151,2.408,0.34,19.69,,0.877,none,Uptrend,2026-04-05T17:26:09.781887
AFJK,HOLD,50,25.42,0.0,-3.05,49.04,26.345,37.192,0.0,15.1,127.299995,-1.498,none,,2026-04-05T17:26:14.512418
AFJKU,HOLD,50,27.61,0.0,0.0,,27.4365,47.2958,0.0,27.64,,-1.498,none,,2026-04-05T17:26:23.936386
AFOS,HOLD,50,36.978,-0.19,-0.19,51.7,36.8464,37.6731,0.1,79.14,30.490345,,,,2026-04-05T17:26:28.659552
AFRI,HOLD,50,9.78,1.14,3.71,58.27,9.589,9.7823,0.36,58.48,,0.369,none,,2026-04-05T17:26:33.393920
AFRM,HOLD,50,46.31,1.69,2.8,48.17,46.366,52.3565,0.55,20.67,57.17284,3.633,buy,,2026-04-05T17:26:42.832456
AFSC,HOLD,50,31.142,0.03,-1.06,55.53,30.889,31.8734,0.14,79.49,23.683401,,,,2026-04-05T17:26:47.554051
AFYA,HOLD,50,14.96,-0.07,-1.32,79.24,14.138,13.9458,1.0,28.41,9.408805,0.513,underperform,"Uptrend, RSI overbought (79.2), Low P/E (9.4)",2026-04-05T17:26:52.273228
AGAE,HOLD,50,0.289,4.71,-1.7,49.57,0.2939,0.3018,0.03,1.07,,1.53,none,,2026-04-05T17:26:56.994155
AGCC,HOLD,50,15.49,-1.65,-0.39,46.37,15.893,13.1689,1.79,55.49,387.25,,none,,2026-04-05T17:27:01.710950
AGEM,WEAK_BUY,65,40.485,-0.99,-1.44,48.59,41.016,42.2725,0.49,75.52,14.455523,,,Low P/E (14.5),2026-04-05T17:27:06.441112
AGEN,HOLD,50,3.33,-2.06,-6.46,55.84,3.419,3.2112,0.79,32.72,Infinity,1.607,strong_buy,,2026-04-05T17:27:11.189227
AGGA,HOLD,50,25.17,0.16,0.3,56.21,25.1185,25.1985,2.84,40.36,59.15011,,,,2026-04-05T17:27:15.925880
AGH,HOLD,50,3.92,-1.51,-1.51,37.57,4.424,4.1567,0.79,43.98,,,none,,2026-04-05T17:27:20.650204
AGIO,SELL,80,35.2,2.95,18.96,85.03,29.3845,28.7594,1.53,54.55,,0.785,buy,"Uptrend, RSI overbought (85.0)",2026-04-05T17:27:25.379993
AGIX,HOLD,50,33.5,1.18,-1.12,47.84,33.7309,34.3831,3.0,66.08,35.497402,,,,2026-04-05T17:27:30.103949
AGMH,BUY,95,0.865,-6.69,-11.73,26.17,1.0763,1.3471,0.13,0.2,0.026554158,2.451,none,"RSI oversold (26.2), Low P/E (0.0)",2026-04-05T17:27:39.590721
AGMI,HOLD,50,69.82,-0.84,7.09,48.87,68.5478,75.8752,0.23,66.67,26.503801,,,,2026-04-05T17:27:44.311541
AGNC,WEAK_BUY,65,10.15,1.3,1.33,50.88,10.0945,10.7316,0.56,53.0,6.9047613,1.361,buy,Low P/E (6.9),2026-04-05T17:27:49.093191
AGNCL,HOLD,50,24.1,-0.5,-2.05,31.48,24.5232,24.5586,1.86,47.55,,1.361,none,,2026-04-05T17:27:53.827314
AGNCM,HOLD,50,23.89,-0.79,-1.18,33.75,24.1763,24.331,2.98,37.45,,1.361,none,,2026-04-05T17:27:58.575025
AGNCN,HOLD,50,24.94,0.4,0.17,46.67,24.9006,24.9854,2.36,52.77,,1.361,none,,2026-04-05T17:28:03.323940
AGNCO,HOLD,50,24.61,0.2,-0.23,35.98,24.6886,24.8083,2.58,42.47,,1.361,none,,2026-04-05T17:30:08.104963
AGNCP,HOLD,50,23.91,0.29,-0.92,32.9,24.1311,24.3509,2.22,24.55,,1.361,none,,2026-04-05T17:30:12.848846
AGNCZ,HOLD,50,24.69,-0.24,-0.48,39.59,24.8415,25.1743,1.96,4.0,,1.361,none,,2026-04-05T17:30:17.581703
AGNG,HOLD,50,35.959,-0.36,2.45,54.41,35.5395,36.7678,0.23,70.79,26.554817,,,,2026-04-05T17:30:22.328797
AGPU,SELL,80,4.07,14.33,152.8,76.24,1.859,2.3911,5.04,9.78,,,none,RSI overbought (76.2),2026-04-05T17:30:27.103029
AGRZ,WEAK_BUY,65,0.492,-4.84,-5.57,32.19,0.5305,0.4564,0.08,2.34,5.4666667,,none,Low P/E (5.5),2026-04-05T17:30:31.825252
AGYS,HOLD,50,71.09,2.11,-1.0,58.54,71.2105,78.8924,0.51,9.05,66.43925,0.423,strong_buy,,2026-04-05T17:30:36.585703
AGZD,WEAK_BUY,65,22.55,0.18,0.18,66.65,22.4612,22.4223,0.78,75.82,,,,Uptrend,2026-04-05T17:30:41.341653
AHCO,SELL,80,12.03,1.43,5.62,70.01,10.6607,10.2606,0.81,98.8,,1.499,none,"Uptrend, RSI overbought (70.0)",2026-04-05T17:30:46.058967
AHG,WEAK_BUY,65,2.22,-4.31,-6.29,34.75,2.2194,1.7374,2.88,83.22,,-0.928,none,Uptrend,2026-04-05T17:30:50.773177
AHMA,BUY,80,1.16,-0.85,-15.94,2.14,3.5362,9.9027,0.15,0.26,29.0,,none,RSI oversold (2.1),2026-04-05T17:30:55.482742
AIA,HOLD,50,105.62,-1.66,-2.89,47.16,107.922,110.2788,0.26,76.45,16.60174,,,,2026-04-05T17:31:00.232265
AIFD,WEAK_BUY,65,39.825,0.86,-0.72,53.77,39.2969,39.1272,0.46,95.31,41.818676,,,Uptrend,2026-04-05T17:31:09.660197
AIFF,WEAK_BUY,65,2.12,-5.36,26.19,42.59,2.0735,1.3336,0.1,38.56,,,none,Uptrend,2026-04-05T17:31:14.381220
AIFU,WEAK_BUY,65,1.47,6.52,-10.91,30.6,1.695,1.8268,0.09,1.86,0.12570453,,none,Low P/E (0.1),2026-04-05T17:31:19.160823
AIHS,HOLD,50,1.17,2.63,-33.14,36.09,1.439,1.3191,1.0,2.08,,0.98,none,,2026-04-05T17:31:23.882626
AIIO,BUY,80,1.4,-22.65,-34.33,27.68,2.2293,2.9642,0.74,0.04,,1.9,none,RSI oversold (27.7),2026-04-05T17:31:28.606581
AIMD,HOLD,50,1.44,0.0,0.0,52.63,1.4475,1.6187,0.01,5.56,,,none,,2026-04-05T17:31:38.058251
AIOS,HOLD,50,0.554,-2.29,-4.65,36.97,0.6442,0.78,0.08,2.09,,1.644,none,,2026-04-05T17:31:52.233817
AIOT,HOLD,50,3.08,1.32,0.98,47.62,3.0595,3.8056,1.11,9.12,,1.392,none,,2026-04-05T17:31:56.946807
AIP,WEAK_BUY,65,18.2,3.7,1.17,65.95,15.9105,15.627,0.89,88.53,,1.429,none,Uptrend,2026-04-05T17:32:01.666767
AIPI,HOLD,50,34.21,0.38,-0.61,45.67,34.5501,34.7932,0.5,15.54,38.50979,,,,2026-04-05T17:32:06.390866
AIPO,HOLD,50,25.44,0.16,-2.94,52.06,25.3595,25.401,0.46,79.57,38.27325,,,,2026-04-05T17:32:11.113928
AIQ,HOLD,50,47.27,-0.15,-1.32,45.32,48.0695,49.5652,0.79,71.42,29.054968,,,,2026-04-05T17:32:15.850284
AIRE,HOLD,50,0.25,-1.96,-12.28,32.18,0.287,0.3228,0.4,6.63,,-2.517,buy,,2026-04-05T17:32:20.561548
AIRG,SELL,80,5.44,3.42,1.12,75.36,4.6585,4.704,1.0,85.61,,0.769,none,RSI overbought (75.4),2026-04-05T17:32:25.307506
AIRJ,HOLD,50,2.68,3.47,-13.83,30.34,3.1395,3.2143,0.85,10.15,,0.561,strong_buy,,2026-04-05T17:32:30.023496
AIRO,HOLD,50,8.71,5.96,-7.54,41.13,9.5522,9.9047,1.0,4.5,,,strong_buy,,2026-04-05T17:32:39.472031
AIRR,HOLD,50,112.87,-0.26,-0.51,57.13,110.6897,114.2625,0.65,83.41,26.802479,,,,2026-04-05T17:32:44.254826
AIRS,SELL,80,3.17,16.12,3.93,71.5,2.6122,2.3543,1.25,15.82,,2.266,hold,"Uptrend, RSI overbought (71.5)",2026-04-05T17:32:48.969684
AIRT,HOLD,50,21.7,-0.46,-3.0,45.58,22.1785,22.405,0.71,58.81,,0.355,none,,2026-04-05T17:32:53.723131
AIRTP,HOLD,50,19.255,0.0,0.0,31.37,19.3739,19.6752,0.0,73.7,57.306545,0.355,none,,2026-04-05T17:32:58.455932
AISP,WEAK_BUY,65,2.25,-0.88,-3.85,34.43,2.43,2.6648,0.58,3.88,2.9605265,0.472,none,Low P/E (3.0),2026-04-05T17:33:03.188674
AIXC,HOLD,50,1.28,3.23,0.0,57.78,1.223,1.3621,0.32,4.56,,,none,,2026-04-05T17:33:12.630634
AIXI,HOLD,50,0.131,33.67,5.65,34.8,0.1549,0.2067,24.84,1.27,,2.502,none,,2026-04-05T17:33:17.385051
AKAM,WEAK_BUY,65,118.0,1.94,-0.97,65.82,110.269,103.7524,0.92,94.18,38.43648,0.594,buy,Uptrend,2026-04-05T17:33:22.115777
AKAN,WEAK_BUY,65,0.688,-1.01,-12.91,37.52,0.7733,0.9587,0.1,0.39,0.004443942,1.73,none,Low P/E (0.0),2026-04-05T17:33:26.838608
AKBA,HOLD,50,1.38,-2.13,-0.72,40.48,1.396,1.3596,0.59,8.17,,0.37,strong_buy,,2026-04-05T17:33:31.554143
AKTS,HOLD,50,17.37,1.76,-6.81,42.68,18.1815,19.1194,0.9,18.35,,,strong_buy,,2026-04-05T17:33:36.269136
AKTX,BUY,80,4.47,-3.87,-18.43,17.57,7.0555,8.703,0.59,0.53,Infinity,,strong_buy,RSI oversold (17.6),2026-04-05T17:33:40.996638
ALAB,HOLD,50,117.14,10.17,-2.65,47.85,118.5938,133.5493,0.87,32.06,96.01639,1.793,buy,,2026-04-05T17:33:45.735987
ALAR,HOLD,50,6.25,3.14,3.31,44.11,6.527,6.9488,0.37,6.37,62.5,0.255,strong_buy,,2026-04-05T17:33:50.463428
ALBG,HOLD,50,14.828,-0.16,-3.84,65.56,13.6324,14.5633,0.11,38.35,,,,,2026-04-05T17:33:55.170451
ALBT,HOLD,50,0.579,9.04,-2.69,39.55,0.6441,0.731,0.04,3.29,,,none,,2026-04-05T17:33:59.886307
ALCO,SELL,80,42.16,2.43,4.92,75.17,39.3982,40.3484,1.31,93.33,,1.025,strong_buy,RSI overbought (75.2),2026-04-05T17:36:04.758010
ALCY,SELL,80,11.88,0.17,0.34,71.43,11.8295,11.7831,0.03,28.85,,-0.043,none,"Uptrend, RSI overbought (71.4)",2026-04-05T17:36:09.514609
ALCYU,HOLD,50,13.5,0.0,0.0,,13.5,13.5,0.0,62.87,,-0.043,none,,2026-04-05T17:36:14.222476
ALDF,HOLD,50,10.56,0.0,0.19,41.67,10.5421,10.5442,0.0,94.64,48.000004,,none,,2026-04-05T17:36:23.647143
ALDFU,BUY,80,10.65,0.0,0.0,0.0,10.6585,10.7179,0.0,27.58,,,none,RSI oversold (0.0),2026-04-05T17:36:28.342306
ALDX,BUY,80,1.66,-1.19,-10.27,23.86,2.7803,4.2776,0.63,11.56,,1.329,buy,RSI oversold (23.9),2026-04-05T17:36:37.773038
