Date,Open,High,Low,Close,Volume
2021-04-05,120.6488,122.8793,119.8696,122.626,88651200
2021-04-06,123.2104,123.824,122.3825,122.928,80171300
2021-04-07,122.5579,124.5935,121.8858,124.574,83466700
2021-04-08,125.5967,126.9993,125.1779,126.9701,88844600
2021-04-09,126.4246,129.5804,126.1032,129.5414,106686700
2021-04-12,129.0739,129.3953,127.2331,127.8272,91420000
2021-04-13,128.996,131.1582,128.4992,130.9342,91266500
2021-04-14,131.431,131.4894,128.2363,128.5966,87222800
2021-04-15,130.3401,131.4894,130.1648,131.0024,89347100
2021-04-16,130.8076,131.168,129.8141,130.6712,84922400
2021-04-19,130.0381,131.9472,129.8726,131.3336,94264200
2021-04-20,131.5089,132.0056,128.3823,129.6485,94812300
2021-04-21,128.9181,130.2719,127.8856,130.0284,68847100
2021-04-22,129.5804,130.6615,127.9928,128.509,84566500
2021-04-23,128.7233,131.6063,128.7233,130.8271,78657500
2021-04-26,131.3239,131.5479,130.0869,131.2167,66905100
2021-04-27,131.4991,131.8887,130.6225,130.8952,66015800
2021-04-28,130.8174,131.5089,129.6193,130.1063,107760100
2021-04-29,132.9212,133.5056,129.0057,130.0089,151101000
2021-04-30,128.3531,130.0869,127.6616,128.0415,109839500
2021-05-03,128.6064,130.5836,128.4018,129.0934,75135100
2021-05-04,127.7785,128.0707,123.4052,124.5253,137564700
2021-05-05,125.8402,127.0577,124.6422,124.7688,84000900
2021-05-06,124.5643,126.3759,123.824,126.3662,78128300
2021-05-07,127.6638,128.0638,126.3271,127.0394,78973300
2021-05-10,126.2589,126.3857,123.7222,123.7612,88071200
2021-05-11,120.4928,123.1953,119.7805,122.8441,126142800
2021-05-12,120.3952,121.605,119.2732,119.7805,112172300
2021-05-13,121.5465,123.0782,121.2343,121.927,105861300
2021-05-14,123.1758,124.7759,122.7855,124.3466,81918000
2021-05-17,123.7319,123.8393,122.1221,123.1953,74244600
2021-05-18,123.4783,123.8978,121.7416,121.8099,63342900
2021-05-19,120.1611,121.8782,119.8684,121.6538,92612000
2021-05-20,122.1806,124.61,122.0538,124.21,76857100
2021-05-21,124.7076,124.8832,122.1611,122.3758,79295400
2021-05-24,122.9417,124.8247,122.8734,124.0051,63092900
2021-05-25,124.7076,125.1954,123.2441,123.81,72009500
2021-05-26,123.8685,124.288,123.3417,123.7612,56575900
2021-05-27,123.3612,124.532,122.0343,122.2294,94625600
2021-05-28,122.5124,122.7368,121.5172,121.5757,71311100
2021-06-01,122.0343,122.2977,120.9221,121.2538,67637100
2021-06-02,121.2538,122.1904,121.0294,122.0148,59278900
2021-06-03,121.644,121.8099,120.1318,120.5318,76229200
2021-06-04,121.0489,123.088,120.8342,122.8246,75169300
2021-06-07,123.0978,123.2441,121.7904,122.8343,71057600
2021-06-08,123.5173,125.332,123.1368,123.6539,74403800
2021-06-09,124.1124,124.6393,123.4392,124.0344,56877900
2021-06-10,123.9271,125.0686,122.8734,123.0392,71186400
2021-06-11,123.449,124.3368,123.0294,124.249,53522400
2021-06-14,124.7076,127.3614,123.9759,127.3028,96906500
2021-06-15,126.776,127.4199,126.2394,126.4833,62746300
2021-06-16,127.1954,127.7028,125.332,126.9808,91815000
2021-06-17,126.6394,129.3224,126.493,128.5809,96721700
2021-06-18,127.5272,128.3077,127.0687,127.2833,108953300
2021-06-21,127.1272,129.1858,126.0637,129.0785,79663300
2021-06-22,128.9126,130.8152,128.4151,130.7176,74783600
2021-06-23,130.5127,131.0493,129.9859,130.4444,60214200
2021-06-24,131.1761,131.3615,129.6931,130.1615,68711000
2021-06-25,130.2102,130.6297,129.576,129.8687,70783700
2021-06-28,130.1615,131.9566,130.1029,131.4981,62111300
2021-06-29,131.5176,133.1665,131.0786,133.0104,64556100
2021-06-30,132.8543,134.0641,132.5616,133.625,63261400
2021-07-01,133.2738,133.986,132.4543,133.9275,52485800
2021-07-02,134.5421,136.591,134.3958,136.552,78852600
2021-07-06,136.6593,139.6643,136.6593,138.5618,108181800
2021-07-07,140.0448,141.3619,139.1862,141.0497,104911600
2021-07-08,138.1325,140.5521,137.2447,139.7521,105575500
2021-07-09,139.274,142.1034,139.1765,141.5766,99890800
2021-07-12,142.6498,142.7571,140.4936,140.9814,76299700
2021-07-13,140.5228,143.8693,140.1326,142.0936,100827100
2021-07-14,144.4937,145.9279,144.084,145.5182,127050800
2021-07-15,145.606,146.3475,143.5084,144.8645,106820300
2021-07-16,144.845,146.1133,142.3278,142.8254,93251400
2021-07-19,140.2497,140.5619,138.2203,138.9813,121434600
2021-07-20,139.9667,143.5181,139.4789,142.5912,96350000
2021-07-21,141.9863,142.5717,141.1082,141.8594,74993500
2021-07-22,142.3863,144.5913,142.2595,143.2254,77338200
2021-07-23,143.9572,145.0987,143.3425,144.9426,71447400
2021-07-26,144.6596,146.1816,144.1035,145.3621,72434100
2021-07-27,145.4889,145.5767,142.0058,143.1961,104818600
2021-07-28,141.2838,143.3913,139.0691,141.4497,118931200
2021-07-29,141.1668,142.9815,141.0595,142.0936,56699500
2021-07-30,140.8643,142.7668,140.6009,142.3083,70440600
2021-08-02,142.7961,143.3718,141.7132,141.9766,62880000
